repetition,seed,fold,model,n_test,mae_days,selected_alpha
0,20260816,0,median,8,6.5,
0,20260816,0,covariates,8,6.473106656909212,1000.0
0,20260816,0,panel,8,3.8198753594208466,5.623413251903491
0,20260816,0,combined,8,4.197131157161904,56.23413251903491
0,20260816,1,median,9,5.777777777777778,
0,20260816,1,covariates,9,5.692245608937898,100.0
0,20260816,1,panel,9,4.432992627459181,17.78279410038923
0,20260816,1,combined,9,4.294112439490972,31.622776601683793
0,20260816,2,median,11,1.8181818181818181,
0,20260816,2,covariates,11,2.281807440135049,31.622776601683793
0,20260816,2,panel,11,1.5118914127845877,31.622776601683793
0,20260816,2,combined,11,1.968562022959498,31.622776601683793
0,20260816,3,median,12,3.5833333333333335,
0,20260816,3,covariates,12,4.094672083411985,100.0
0,20260816,3,panel,12,2.7910164597362255,31.622776601683793
0,20260816,3,combined,12,3.135278532990572,56.23413251903491
0,20260816,4,median,9,3.9444444444444446,
0,20260816,4,covariates,9,3.7798629707204685,1000.0
0,20260816,4,panel,9,1.1229172568708772,56.23413251903491
0,20260816,4,combined,9,1.7753123911450739,56.23413251903491
1,20260817,0,median,9,6.444444444444445,
1,20260817,0,covariates,9,6.9305390292000375,10.0
1,20260817,0,panel,9,3.3283610454687937,31.622776601683793
1,20260817,0,combined,9,4.980353699747342,17.78279410038923
1,20260817,1,median,10,3.4,
1,20260817,1,covariates,10,3.3808468826690556,31.622776601683793
1,20260817,1,panel,10,2.265387797993776,31.622776601683793
1,20260817,1,combined,10,2.4067634284503114,31.622776601683793
1,20260817,2,median,9,2.6666666666666665,
1,20260817,2,covariates,9,3.824794898038516,56.23413251903491
1,20260817,2,panel,9,2.6464676340146998,10.0
1,20260817,2,combined,9,2.4915291115186546,56.23413251903491
1,20260817,3,median,11,5.0,
1,20260817,3,covariates,11,4.78005725036817,1000.0
1,20260817,3,panel,11,3.8944194560664154,3.1622776601683795
1,20260817,3,combined,11,4.729732250795083,3.1622776601683795
1,20260817,4,median,10,2.9,
1,20260817,4,covariates,10,3.9592754791616342,100.0
1,20260817,4,panel,10,2.645437506494976,17.78279410038923
1,20260817,4,combined,10,2.6311201987001365,56.23413251903491
2,20260818,0,median,11,3.6363636363636362,
2,20260818,0,covariates,11,3.9038908237469716,1000.0
2,20260818,0,panel,11,2.4140180715442323,17.78279410038923
2,20260818,0,combined,11,2.3485902478856495,17.78279410038923
2,20260818,1,median,10,4.6,
2,20260818,1,covariates,10,5.602044416773256,31.622776601683793
2,20260818,1,panel,10,3.0501839308074166,31.622776601683793
2,20260818,1,combined,10,3.6097381988453265,31.622776601683793
2,20260818,2,median,13,4.153846153846154,
2,20260818,2,covariates,13,4.17962785668032,56.23413251903491
2,20260818,2,panel,13,2.8301114489795705,10.0
2,20260818,2,combined,13,2.6504374927820944,31.622776601683793
2,20260818,3,median,8,3.625,
2,20260818,3,covariates,8,6.262095372898892,5.623413251903491
2,20260818,3,panel,8,3.574223296422435,3.1622776601683795
2,20260818,3,combined,8,3.7045734969102155,56.23413251903491
2,20260818,4,median,7,5.928571428571429,
2,20260818,4,covariates,7,5.370534514558514,1000.0
2,20260818,4,panel,7,3.068757122299957,17.78279410038923
2,20260818,4,combined,7,3.575970571457874,56.23413251903491
3,20260819,0,median,8,3.75,
3,20260819,0,covariates,8,4.631476438273477,56.23413251903491
3,20260819,0,panel,8,3.2490917556988155,56.23413251903491
3,20260819,0,combined,8,3.615861031782085,31.622776601683793
3,20260819,1,median,11,3.3181818181818183,
3,20260819,1,covariates,11,4.2732276126781725,31.622776601683793
3,20260819,1,panel,11,2.356462044344659,31.622776601683793
3,20260819,1,combined,11,2.6137015474581586,31.622776601683793
3,20260819,2,median,9,5.888888888888889,
3,20260819,2,covariates,9,6.17793871929486,1000.0
3,20260819,2,panel,9,3.834995666442425,10.0
3,20260819,2,combined,9,3.6561735267641904,31.622776601683793
3,20260819,3,median,11,4.409090909090909,
3,20260819,3,covariates,11,4.328176582682946,31.622776601683793
3,20260819,3,panel,11,1.9017942572205273,31.622776601683793
3,20260819,3,combined,11,2.2736123573521883,56.23413251903491
3,20260819,4,median,10,4.6,
3,20260819,4,covariates,10,3.801198256129568,31.622776601683793
3,20260819,4,panel,10,3.589856808199348,1.0
3,20260819,4,combined,10,2.4407838846285514,56.23413251903491
4,20260820,0,median,10,5.0,
4,20260820,0,covariates,10,5.186550611917442,1000.0
4,20260820,0,panel,10,2.9690595417849317,31.622776601683793
4,20260820,0,combined,10,3.3698003077780543,100.0
4,20260820,1,median,9,3.5555555555555554,
4,20260820,1,covariates,9,4.222825945913554,1000.0
4,20260820,1,panel,9,1.795001067843997,31.622776601683793
4,20260820,1,combined,9,2.3178969332189427,56.23413251903491
4,20260820,2,median,13,4.615384615384615,
4,20260820,2,covariates,13,3.676585812680969,100.0
4,20260820,2,panel,13,2.170617461039183,56.23413251903491
4,20260820,2,combined,13,2.3447398907700294,31.622776601683793
4,20260820,3,median,8,3.25,
4,20260820,3,covariates,8,4.309012769091772,56.23413251903491
4,20260820,3,panel,8,2.854532574603842,56.23413251903491
4,20260820,3,combined,8,3.554660251225817,5.623413251903491
4,20260820,4,median,9,4.333333333333333,
4,20260820,4,covariates,9,4.449627567991961,1000.0
4,20260820,4,panel,9,3.50611594579772,31.622776601683793
4,20260820,4,combined,9,3.4142790034285864,31.622776601683793
5,20260821,0,median,10,3.3,
5,20260821,0,covariates,10,4.084958524280946,1000.0
5,20260821,0,panel,10,1.8572225645379241,56.23413251903491
5,20260821,0,combined,10,1.8940448511494505,56.23413251903491
5,20260821,1,median,11,5.7272727272727275,
5,20260821,1,covariates,11,5.649653643484935,1000.0
5,20260821,1,panel,11,2.7517411309766953,56.23413251903491
5,20260821,1,combined,11,3.2849961781940986,56.23413251903491
5,20260821,2,median,8,6.0,
5,20260821,2,covariates,8,4.953132274505823,1000.0
5,20260821,2,panel,8,3.956567686010322,56.23413251903491
5,20260821,2,combined,8,3.7767016828982687,56.23413251903491
5,20260821,3,median,10,2.7,
5,20260821,3,covariates,10,4.255178999834501,56.23413251903491
5,20260821,3,panel,10,2.49547845490587,3.1622776601683795
5,20260821,3,combined,10,3.1530265059084677,100.0
5,20260821,4,median,10,4.9,
5,20260821,4,covariates,10,4.329611594647117,56.23413251903491
5,20260821,4,panel,10,3.106613145168608,31.622776601683793
5,20260821,4,combined,10,3.311403873147852,56.23413251903491
6,20260822,0,median,8,3.625,
6,20260822,0,covariates,8,3.853505400247533,31.622776601683793
6,20260822,0,panel,8,1.6135457045015271,56.23413251903491
6,20260822,0,combined,8,1.9202671897603945,100.0
6,20260822,1,median,11,3.6363636363636362,
6,20260822,1,covariates,11,3.824117282464167,56.23413251903491
6,20260822,1,panel,11,3.178910381847018,10.0
6,20260822,1,combined,11,3.3344256145608853,17.78279410038923
6,20260822,2,median,11,4.2727272727272725,
6,20260822,2,covariates,11,5.706055233455105,31.622776601683793
6,20260822,2,panel,11,2.8257398555184055,31.622776601683793
6,20260822,2,combined,11,3.2414267422406144,17.78279410038923
6,20260822,3,median,10,5.1,
6,20260822,3,covariates,10,5.202956608010711,1000.0
6,20260822,3,panel,10,2.556031696512957,17.78279410038923
6,20260822,3,combined,10,2.4804373476903647,56.23413251903491
6,20260822,4,median,9,3.6666666666666665,
6,20260822,4,covariates,9,3.551494157944339,1000.0
6,20260822,4,panel,9,2.8382464701529018,3.1622776601683795
6,20260822,4,combined,9,2.9118688808012965,56.23413251903491
7,20260823,0,median,13,5.461538461538462,
7,20260823,0,covariates,13,4.719565057993986,31.622776601683793
7,20260823,0,panel,13,3.3373579837230616,5.623413251903491
7,20260823,0,combined,13,2.1928986486647273,56.23413251903491
7,20260823,1,median,10,3.1,
7,20260823,1,covariates,10,5.051823965362288,31.622776601683793
7,20260823,1,panel,10,3.676452965047102,56.23413251903491
7,20260823,1,combined,10,4.229725267050538,56.23413251903491
7,20260823,2,median,10,4.9,
7,20260823,2,covariates,10,4.091048244158638,56.23413251903491
7,20260823,2,panel,10,3.5158212714732047,0.1778279410038923
7,20260823,2,combined,10,4.01112598842092,10.0
7,20260823,3,median,9,4.555555555555555,
7,20260823,3,covariates,9,4.928668596299496,1000.0
7,20260823,3,panel,9,3.2422605656194694,31.622776601683793
7,20260823,3,combined,9,2.966547140693604,100.0
7,20260823,4,median,7,3.0,
7,20260823,4,covariates,7,3.517560992878122,100.0
7,20260823,4,panel,7,2.452027626791202,10.0
7,20260823,4,combined,7,1.7512385834936453,31.622776601683793
8,20260824,0,median,9,6.111111111111111,
8,20260824,0,covariates,9,5.724911718647495,1000.0
8,20260824,0,panel,9,3.8388587042022033,17.78279410038923
8,20260824,0,combined,9,3.761392762558322,17.78279410038923
8,20260824,1,median,9,4.444444444444445,
8,20260824,1,covariates,9,4.225788520509496,100.0
8,20260824,1,panel,9,1.9917455921891944,56.23413251903491
8,20260824,1,combined,9,2.207617064943552,100.0
8,20260824,2,median,10,4.5,
8,20260824,2,covariates,10,5.276323589074556,100.0
8,20260824,2,panel,10,2.593627999617862,31.622776601683793
8,20260824,2,combined,10,3.13615100395334,17.78279410038923
8,20260824,3,median,12,3.0833333333333335,
8,20260824,3,covariates,12,4.161655515288161,31.622776601683793
8,20260824,3,panel,12,3.5401865216768793,1.7782794100389228
8,20260824,3,combined,12,2.035114548910862,56.23413251903491
8,20260824,4,median,9,2.5555555555555554,
8,20260824,4,covariates,9,3.164092552450688,100.0
8,20260824,4,panel,9,3.4399632829809965,56.23413251903491
