permutation,baseline_minus_panel_mae_days
0,-0.28671092875789217
1,-0.4515763408009015
2,0.005985574349391065
3,-0.47692774426612417
4,-0.39157625394908635
5,-0.37842037401233597
6,-0.41147101622791116
7,-0.05191853098706645
8,-0.41808030874052093
9,-0.4611914693198065
10,-0.4003640416771166
11,-0.16536178014056713
12,-0.482102088457693
13,-0.3253422147997478
14,-0.36620020244114126
15,-0.2794702948395811
16,-0.26471162352055444
17,-0.3466078822198524
18,-0.43922171532371657
19,-0.30755355043805377
20,-0.055805064296188256
21,-0.3360570164282377
22,-0.10517858777730904
23,-0.3496349443722675
24,-0.4148900084074505
25,-0.2100201997754274
26,-0.2561316058661349
27,-0.6602188505129298
28,-0.3404781005849147
29,-0.4125202499861942
30,-0.24857984423126478
31,-0.24609291292748736
32,-0.358996463989814
33,-0.30965332923374245
34,-0.30226416083590735
35,-0.22241534530012608
36,-0.35884140732388303
37,-0.320151057003665
38,-0.2792993348424533
39,-0.48893021408575077
40,-0.446000582865679
41,-0.41607790448577386
42,-0.3316825484051895
43,-0.2102174310782141
44,-0.1735044764538909
45,-0.3441824655480623
46,-0.2507541660431354
47,-0.28053993927326104
48,-0.09727889837000259
49,-0.35835023829222923
50,-0.3058541480655679
51,-0.32884891745553624
52,-0.0912381737693968
53,-0.3306552090534778
54,-0.2738778714964365
55,-0.04589934420820452
56,-0.4457428388906104
57,-0.25468143083137385
58,-0.5444061252360664
59,-0.3669807553238327
60,-0.3007879013924466
61,-0.3362535383225884
62,-0.3587001835825534
63,-0.31161759753144747
64,-0.26404070638630284
65,-0.3021620389407831
66,-0.17242060546766336
67,-0.28805597382725967
68,-0.2956389111133406
69,-0.3438201111237129
70,-0.27076124317728123
71,-0.35456648908536614
72,-0.3351392376562865
73,-0.26214263945047644
74,-0.3347946521662717
75,-0.3340599864436138
76,-0.4400786878315861
77,-0.4390129968827692
78,-0.3245593712247494
79,-0.4018836237615675
80,0.0892912033364226
81,-0.36034260313437283
82,-0.2735135537211928
83,-0.4429164334131528
84,-0.21647278975711792
85,-0.5991347906264686
86,-0.40667288559696857
87,-0.2863769609972202
88,-0.28109306317510363
89,-0.2508799290802557
90,-0.3751068511412239
91,-0.2973635714381402
92,-0.2726142212979399
93,-0.12145097896214185
94,-0.3604390179710979
95,-0.28757584397695
96,-0.387634824269921
97,-0.5128433552905749
98,-0.5154200290620894
99,-0.3400492622615552
100,-0.012146874725947221
101,-0.2948305552314263
102,-0.24746129896323854
103,-0.31828283555963033
104,-0.1880453514319642
105,-0.36923079432583705
106,-0.3263414601983632
107,-0.37821868627289046
108,-0.4480785120970552
109,-0.25784904383239926
110,-0.5639509623677164
111,-0.5467782153395975
112,-0.3645415318868057
113,-0.3290042128916246
114,-0.29485263180160715
115,0.04767952583437296
116,-0.2927316329468592
117,-0.31261391363684154
118,-0.25927702094104177
119,-0.21376268600438575
120,-0.4504145608582819
121,-0.3320552141056634
122,-0.3074760946909221
123,0.16297259172705747
124,-0.15999750155753922
125,-0.28649317262693685
126,-0.368985745582016
127,-0.38858677062017755
128,-0.39024501577846316
129,-0.3632218615890137
130,-0.2951254557401244
131,-0.3186612726244027
132,-0.3715720795995283
133,-0.6569239017062669
134,-0.07510623441307107
135,-0.3134775823366649
136,-0.38029913466025
137,-0.5378485016976038
138,-0.31433261818246283
139,-0.37598310423615366
140,-0.3059183030713468
141,-0.07646336260773623
142,-0.42589813282059197
143,-0.39150292123794195
144,-0.2773209420679974
145,-0.33230418834378117
146,-0.2804044989537342
147,-0.3316733576470927
148,-0.4254310619411852
149,-0.39947764530499086
150,-0.2786798136733264
151,-0.2802393062830193
152,-0.3777400346658677
153,-0.409699839263328
154,-0.3940598509393958
155,-0.4288930676566416
156,-0.522424474164664
157,-0.24638620566906067
158,-0.36538790320048076
159,-0.3616223211218337
160,-0.5017910673561436
161,-0.4470780257054212
162,-0.2604676315733663
163,-0.29537736230379075
164,-0.3140486310903299
165,-0.136200951920034
166,-0.42276048939368405
167,-0.3996441833503219
168,-0.1725428315085491
169,-0.4151490762585066
170,-0.26328930747976287
171,-0.32501490972818914
172,-0.3483019589561671
173,-0.35934113087215724
174,-0.3847782041993453
175,-0.34141554941608465
176,-0.32160309181509206
177,-0.30097568061745417
178,-0.22807836040102103
179,-0.34039342644975257
180,-0.2539945983114178
181,-0.34121829999942577
182,-0.3711040351087629
183,-0.33728492808547283
184,-0.33809935000669444
185,-0.33628725790150593
186,-0.3726001576068887
187,-0.015131586435789046
188,-0.3532342155544246
189,-0.26157712842664793
190,-0.24129606187218222
191,-0.28322329275793834
192,-0.4244602182859474
193,-0.34057984983394274
194,-0.27207792712164647
195,-0.4644953817264392
196,-0.4003127511639377
197,-0.23839513108947674
198,-0.3294977928459222
