repetition,seed,model,pooled_mae_days
0,20260816,combined,3.009783620029816
0,20260816,covariates,4.311628108461803
0,20260816,median,4.13265306122449
0,20260816,panel,2.6670447937102546
1,20260817,combined,3.462302782278456
1,20260817,covariates,4.546527728928647
1,20260817,median,4.081632653061225
1,20260817,panel,2.9738841872850927
2,20260818,combined,3.082774369323459
2,20260818,covariates,4.9181410194060025
2,20260818,median,4.295918367346939
2,20260818,panel,2.9371953705974345
3,20260819,combined,2.857157995802729
3,20260819,covariates,4.597565075308359
3,20260819,median,4.36734693877551
3,20260819,panel,2.923409845771079
4,20260820,combined,2.9429895326005147
4,20260820,covariates,4.330312356365527
4,20260820,median,4.224489795918367
4,20260820,panel,2.6215293087952016
5,20260821,combined,3.059863749497529
5,20260821,covariates,4.662627335959317
5,20260821,median,4.489795918367347
5,20260821,panel,2.786017052550005
6,20260822,combined,2.8307695274901015
6,20260822,covariates,4.482713354667315
6,20260822,median,4.081632653061225
6,20260822,panel,2.6543684376232153
7,20260823,combined,3.058648762001102
7,20260823,covariates,4.525796166652518
7,20260823,median,4.346938775510204
7,20260823,panel,3.2990394822799285
8,20260824,combined,2.9759204035489306
8,20260824,covariates,4.504821167319849
8,20260824,median,4.081632653061225
8,20260824,panel,3.0990536014418923
9,20260825,combined,3.4217734054082354
9,20260825,covariates,5.051634190364391
9,20260825,median,4.244897959183674
9,20260825,panel,2.8985906853383536
10,20260826,combined,3.1016954652137865
10,20260826,covariates,4.6938034694181106
10,20260826,median,4.63265306122449
10,20260826,panel,2.835022365945997
11,20260827,combined,3.0499469316410575
11,20260827,covariates,4.798155943946971
11,20260827,median,4.081632653061225
11,20260827,panel,2.715364014202977
12,20260828,combined,2.862940850239257
12,20260828,covariates,4.508892233570512
12,20260828,median,4.540816326530612
12,20260828,panel,2.8672426011030363
13,20260829,combined,3.3301797864783516
13,20260829,covariates,4.4540175120255485
13,20260829,median,4.224489795918367
13,20260829,panel,2.8590131821017826
14,20260830,combined,3.002802712256372
14,20260830,covariates,4.357555383333207
14,20260830,median,4.540816326530612
14,20260830,panel,2.5371976550636597
15,20260831,combined,3.0095558668649702
15,20260831,covariates,4.684166429879404
15,20260831,median,4.081632653061225
15,20260831,panel,2.792877480432319
16,20260832,combined,2.5965100248975257
16,20260832,covariates,4.297774486054951
16,20260832,median,4.295918367346939
16,20260832,panel,2.58155161752585
17,20260833,combined,2.9901997863511327
17,20260833,covariates,4.623159888231738
17,20260833,median,4.081632653061225
17,20260833,panel,2.596315053978838
18,20260834,combined,2.782793392287168
18,20260834,covariates,4.549740545566278
18,20260834,median,4.081632653061225
18,20260834,panel,2.642811316561864
19,20260835,combined,3.0994912509879136
19,20260835,covariates,4.665184451541317
19,20260835,median,4.275510204081633
19,20260835,panel,2.7120748741477527
