repetition,seed,fold,model,n_test,mae_days,selected_alpha
0,20260816,0,median,11,4.181818181818182,
0,20260816,0,panel,11,3.2622204210266457,5.623413251903491
0,20260816,1,median,8,6.875,
0,20260816,1,panel,8,4.967349788980782,5.623413251903491
0,20260816,2,median,11,3.5454545454545454,
0,20260816,2,panel,11,2.1723278868853573,10.0
0,20260816,3,median,10,3.2,
0,20260816,3,panel,10,2.9460192334831596,17.78279410038923
0,20260816,4,median,10,4.2,
0,20260816,4,panel,10,1.2805776525714545,31.622776601683793
1,20260817,0,median,9,6.777777777777778,
1,20260817,0,panel,9,3.8662017306501375,3.1622776601683795
1,20260817,1,median,10,4.6,
1,20260817,1,panel,10,3.503065169027303,31.622776601683793
1,20260817,2,median,12,2.6666666666666665,
1,20260817,2,panel,12,1.3894061141215428,31.622776601683793
1,20260817,3,median,9,5.777777777777778,
1,20260817,3,panel,9,2.785958985739577,56.23413251903491
1,20260817,4,median,10,4.6,
1,20260817,4,panel,10,3.161399253726238,17.78279410038923
2,20260818,0,median,11,3.272727272727273,
2,20260818,0,panel,11,2.768970712101245,5.623413251903491
2,20260818,1,median,11,5.090909090909091,
2,20260818,1,panel,11,3.1520398618889116,31.622776601683793
2,20260818,2,median,11,5.090909090909091,
2,20260818,2,panel,11,3.290536808019158,31.622776601683793
2,20260818,3,median,9,4.777777777777778,
2,20260818,3,panel,9,2.2128891804934963,5.623413251903491
2,20260818,4,median,8,4.75,
2,20260818,4,panel,8,3.676025186069235,56.23413251903491
3,20260819,0,median,8,4.0,
3,20260819,0,panel,8,2.5582726932066837,10.0
3,20260819,1,median,11,3.6363636363636362,
3,20260819,1,panel,11,2.646545016284286,31.622776601683793
3,20260819,2,median,9,6.777777777777778,
3,20260819,2,panel,9,4.337581323184958,1.7782794100389228
3,20260819,3,median,11,4.181818181818182,
3,20260819,3,panel,11,1.8073347917747105,56.23413251903491
3,20260819,4,median,11,4.181818181818182,
3,20260819,4,panel,11,4.552118511087095,1.0
4,20260820,0,median,10,4.4,
4,20260820,0,panel,10,2.8908982134426435,56.23413251903491
4,20260820,1,median,9,7.222222222222222,
4,20260820,1,panel,9,3.2809111241270608,31.622776601683793
4,20260820,2,median,11,2.0,
4,20260820,2,panel,11,2.1074724829666636,31.622776601683793
4,20260820,3,median,10,4.3,
4,20260820,3,panel,10,2.431411811050906,31.622776601683793
4,20260820,4,median,10,3.7,
4,20260820,4,panel,10,3.5172258635367144,17.78279410038923
5,20260821,0,median,9,3.4444444444444446,
5,20260821,0,panel,9,2.1104972915828197,56.23413251903491
5,20260821,1,median,11,3.6363636363636362,
5,20260821,1,panel,11,2.043635100643037,10.0
5,20260821,2,median,10,6.1,
5,20260821,2,panel,10,2.344659356260776,31.622776601683793
5,20260821,3,median,9,5.444444444444445,
5,20260821,3,panel,9,3.9923291419225015,31.622776601683793
5,20260821,4,median,11,5.545454545454546,
5,20260821,4,panel,11,3.750911417512185,31.622776601683793
6,20260822,0,median,9,2.3333333333333335,
6,20260822,0,panel,9,3.475620327232489,31.622776601683793
6,20260822,1,median,11,5.636363636363637,
6,20260822,1,panel,11,3.363163478068455,31.622776601683793
6,20260822,2,median,10,5.0,
6,20260822,2,panel,10,3.230395690922586,17.78279410038923
6,20260822,3,median,9,6.111111111111111,
6,20260822,3,panel,9,2.257155211507131,31.622776601683793
6,20260822,4,median,11,3.0,
6,20260822,4,panel,11,2.3111955394635397,31.622776601683793
7,20260823,0,median,12,3.75,
7,20260823,0,panel,12,2.5080024025402357,31.622776601683793
7,20260823,1,median,10,6.0,
7,20260823,1,panel,10,2.885844682736183,56.23413251903491
7,20260823,2,median,10,2.9,
7,20260823,2,panel,10,2.6365397237449093,31.622776601683793
7,20260823,3,median,9,6.111111111111111,
7,20260823,3,panel,9,3.6130399038052605,3.1622776601683795
7,20260823,4,median,9,3.111111111111111,
7,20260823,4,panel,9,2.53415245489383,31.622776601683793
8,20260824,0,median,9,9.11111111111111,
8,20260824,0,panel,9,5.3942585001621275,56.23413251903491
8,20260824,1,median,9,4.444444444444445,
