repetition,seed,model,pooled_mae_days
0,20260816,median,4.28
0,20260816,panel,2.835695971188488
1,20260817,median,4.74
1,20260817,panel,2.8637392808900275
2,20260818,median,4.58
2,20260818,panel,3.013024506301956
3,20260819,median,4.5
3,20260819,panel,3.171407899298502
4,20260820,median,4.22
4,20260820,panel,2.8221151262015898
5,20260821,median,4.84
5,20260821,panel,2.8422408632772624
6,20260822,median,4.42
6,20260822,panel,2.926337719014687
7,20260823,median,4.34
7,20260823,panel,2.8128920824717114
8,20260824,median,4.36
8,20260824,panel,3.2066622069009982
9,20260825,median,4.22
9,20260825,panel,3.0679741822351008
10,20260826,median,4.58
10,20260826,panel,3.0446057299888243
11,20260827,median,4.22
11,20260827,panel,3.04853738667436
12,20260828,median,4.68
12,20260828,panel,3.273645310938016
13,20260829,median,4.22
13,20260829,panel,3.086058004192481
14,20260830,median,4.4
14,20260830,panel,3.2177282747134957
15,20260831,median,4.42
15,20260831,panel,3.184578422059111
16,20260832,median,4.4
16,20260832,panel,2.909589262004613
17,20260833,median,4.22
17,20260833,panel,3.1099019718649292
18,20260834,median,4.28
18,20260834,panel,2.7867896056857466
19,20260835,median,4.22
19,20260835,panel,2.8015716267453983
