gene,p_value,fdr,mean_Normal,mean_0–3 days,mean_4–7 days,mean_>7 days,max_abs_log2fc_vs_normal
MMP1,1.102077786296749e-08,0.00022976117688714622,4.059581937997819,12.98401832288927,13.156663134220755,13.014586393840062,9.097081196222938
MMP3,3.471742516405154e-08,0.00036189443991007324,3.7940890255945248,11.587772538745442,12.07766957841322,11.606306452329497,8.283580552818695
RPS4Y1,8.958883752954582e-08,0.00046693702120399283,5.295749757060945,11.179131534272017,11.530024208315625,11.647372676022888,6.351622918961943
UPP1,6.770914910169567e-08,0.00046693702120399283,5.530275356390824,9.148387514207284,8.857575795529952,8.764705589672504,3.6181121578164603
CXCL8,1.784958718665763e-07,0.0007279821279366676,4.509253824194068,11.562013216418158,11.516410916515127,10.873329301569845,7.0527593922240905
GSTO1,2.0951135685053752e-07,0.0007279821279366676,9.363104248876498,10.91513530216694,10.84324742734652,10.741640349555356,1.5520310532904418
S100A12,3.9453772568298865e-07,0.0009028285622500756,4.169766499939661,10.785570063621137,9.999007376265043,10.45633864265677,6.615803563681475
IL24,4.330528406801975e-07,0.0009028285622500756,3.882030006131165,9.585956658501617,9.404445732242564,8.986353981727094,5.703926652370452
PLAUR,3.736180915356196e-07,0.0009028285622500756,6.414059052143403,10.105199929570693,9.251385497944296,9.104348234018284,3.69114087742729
CDCA5,3.9502126663584157e-07,0.0009028285622500756,6.2066026674314,7.808452648770806,7.596103070888161,7.4358904523900735,1.6018499813394058
MME,6.610068048503067e-07,0.0012527881697744722,4.795292036433369,8.036650547772199,9.39761633992066,9.085026585260884,4.602324303487291
KIF14,8.374471439710184e-07,0.0014549248381256494,4.790501189377189,6.066556219987082,6.8114139904431275,6.006747360320355,2.020912801065938
SCG5,9.88258327177192e-07,0.001471657828927864,3.9893167911450385,7.648262058308519,8.347683029869051,7.790241641392619,4.358366238724013
CDKN3,9.333330486526629e-07,0.001471657828927864,6.107283244710506,7.999414829038289,8.516180868545623,7.833580132680684,2.4088976238351174
CDC20,1.6715492528605073e-06,0.00232323058824239,6.718621183692517,9.188302575858332,9.03505707832551,8.642693570693702,2.469681392165815
MT2A,1.8280702448966045e-06,0.0023819755291002755,11.031167221254245,12.98016325801567,12.784805756965916,12.651290328501922,1.9489960367614252
BCL2A1,2.077542630551769e-06,0.0025478005153966635,3.8178745292712684,9.331852374352016,9.545987474153064,9.039516399394222,5.728112944881795
PNP,2.4582449628703224e-06,0.00269734163083792,7.661154038959611,9.831906152414874,9.592121814858176,9.56008530086437,2.1707521134552623
LGR5,2.3399679112439046e-06,0.00269734163083792,5.7933033911250575,3.8408776465188343,3.7083855033665762,3.9591147434965652,2.0849178877584813
RRM2,3.212434980207159e-06,0.0032308488928028366,7.4179684389083045,9.941523697540282,10.216929512881464,9.610932256352102,2.7989610739731594
AURKA,3.2544045831187438e-06,0.0032308488928028366,5.544654011746037,7.724108613538816,7.8496850510875475,7.343590104147299,2.305031039341511
IL6,3.879402144408036e-06,0.0032387908542990344,5.102633104583659,9.653135254387497,9.993765215396452,9.055125793977558,4.891132110812793
GPR84,3.5673347287184744e-06,0.0032387908542990344,4.039268248840188,7.031741803424076,6.132719340356965,6.693973329195153,2.9924735545838876
CKS2,3.883814819525895e-06,0.0032387908542990344,7.980183888801522,9.839230516052657,10.055666662523198,9.74384984705572,2.0754827737216752
CDC27,3.794974818506154e-06,0.0032387908542990344,6.737649017551242,7.464556775667806,7.802218101012488,7.520097237887371,1.0645690834612465
CXCL3,4.145277926604146e-06,0.0033238751620708936,4.069559536678207,9.974921362115543,8.881985884441331,8.881347060723217,5.905361825437336
KRT6A,4.65392082346007e-06,0.0035935163454627974,10.378217527930587,13.362758225200787,13.133130974666448,13.236929983855672,2.9845406972701998
LIPG,5.867358992681853e-06,0.004099749355046226,4.241808056510796,7.47144254167888,7.601137222792114,7.043109880929433,3.3593291662813183
COL4A1,6.09613536101463e-06,0.004099749355046226,7.8610701876892675,9.84731203786812,10.645436765575402,10.864914026858026,3.0038438391687583
KIF4A,5.917504478577414e-06,0.004099749355046226,5.3278304522739655,7.1969633332540015,7.438511672273685,7.035375366352728,2.1106812199997194
KIF2C,6.076794348661797e-06,0.004099749355046226,5.8817837723073945,7.267575667313005,7.414074115025197,7.014083463656475,1.5322903427178023
BOLA3,6.617159934040503e-06,0.004311079697027388,8.517354801616493,9.773000225778626,9.658522628554202,9.690946267816434,1.2556454241621324
KRT16,6.833673057160521e-06,0.0043172247241115925,8.253076536156115,12.824041508991604,12.692025879921566,12.629672007490058,4.570964972835489
SERPINA1,7.237461568718612e-06,0.004437841140724871,4.590051668864771,7.04309028972617,6.7852269766897235,6.802499047472996,2.453038620861399
SNRPF,8.265788443493905e-06,0.00492357592771317,8.934499262209416,9.895365877378351,9.80236405075617,9.554003779442539,0.9608666151689356
TDO2,9.590187725047117e-06,0.005272123507434273,3.4843795078776445,6.372845216117699,7.291532484350651,7.154243272948492,3.8071529764730068
CTSL,9.609588127518341e-06,0.005272123507434273,9.216415094224013,11.278083908830395,11.352894459085269,10.993580941202831,2.1364793648612554
